id,code,name,user_type_id:id,reconcile,chart_template_id:id
430.01,430.01,PENDAPATAN SCHOOL FEE   SECONDARY,account.data_account_type_revenue,FALSE,l10n_id_school
430.02,430.02,PENDAPATAN ANNUAL FEE SECONDARY,account.data_account_type_revenue,FALSE,l10n_id_school
430.03,430.03,PENDAPATAN SUMANGAN PEMBAGUNAN SECONDARY,account.data_account_type_revenue,FALSE,l10n_id_school
510.01,510.01,BIAYA GAJI IY,account.data_account_type_direct_costs,FALSE,l10n_id_school
510.02,510.02,BIAYA MAKAN & MINUM - IY             ,account.data_account_type_direct_costs,FALSE,l10n_id_school
510.03,510.03,BIAYA KEGIATAN SEKOLAH IY      ,account.data_account_type_direct_costs,FALSE,l10n_id_school
511.01,511.01,BIAYA GAJI PRIMARY,account.data_account_type_direct_costs,FALSE,l10n_id_school
511.02,511.02,BIAYA MAKAN & MINUM - PRIMARY                ,account.data_account_type_direct_costs,FALSE,l10n_id_school
511.03,511.03,BIAYA KEGIATAN SEKOLAH PRIMARY     ,account.data_account_type_direct_costs,FALSE,l10n_id_school
512.01,512.01,BIAYA GAJI SECONDARY,account.data_account_type_direct_costs,FALSE,l10n_id_school
512.02,512.02,BIAYA MAKAN & MINUM SECONDARY                   ,account.data_account_type_direct_costs,FALSE,l10n_id_school
512.03,512.03,BIAYA KEGIATAN SEKOLAH SECONDARY       ,account.data_account_type_direct_costs,FALSE,l10n_id_school
440.01,440.01,PENJUALAN SERAGAM IY           ,account.data_account_type_revenue,FALSE,l10n_id_school
440.02,440.02,PENJUALAN SERAGAM PRIMARY          ,account.data_account_type_revenue,FALSE,l10n_id_school
440.03,440.03,PENJUALAN SERAGAM SECONDARY,account.data_account_type_revenue,FALSE,l10n_id_school
440.04,440.04,PENJUALAN LAINNYA                        ,account.data_account_type_revenue,FALSE,l10n_id_school
440.05,440.05,PENJUALAN BUKU                           ,account.data_account_type_revenue,FALSE,l10n_id_school
440.06,440.06,PENJUALAN ACCESORIS                      ,account.data_account_type_revenue,FALSE,l10n_id_school
540.01,540.01,HPP PENJUALAN SERAGAM IY      ,account.data_account_type_direct_costs,FALSE,l10n_id_school
540.02,540.02,HPP PENJUALAN SERAGAM PRIMARY       ,account.data_account_type_direct_costs,FALSE,l10n_id_school
540.03,540.03,HPP PENJUALAN SERAGAM SECONDARY    ,account.data_account_type_direct_costs,FALSE,l10n_id_school
540.04,540.04,HPP PENJUALAN LAINNYA                    ,account.data_account_type_direct_costs,FALSE,l10n_id_school
540.05,540.05,HPP PENJUALAN BUKU                       ,account.data_account_type_direct_costs,FALSE,l10n_id_school
540.06,540.06,HPP PENJUALAN ACCESORIS,account.data_account_type_direct_costs,FALSE,l10n_id_school
520.01,520.01,BIAYA GAJI AMINISTRASI,account.data_account_type_expenses,FALSE,l10n_id_school
520.02,520.02,BIAYA BUKU                               ,account.data_account_type_expenses,FALSE,l10n_id_school
520.03,520.03,BIAYA ASKES                              ,account.data_account_type_expenses,FALSE,l10n_id_school
520.04,520.04,BIAYA JAMSOSTEK                          ,account.data_account_type_expenses,FALSE,l10n_id_school
520.05,520.05,BIAYA LISTRIK                            ,account.data_account_type_expenses,FALSE,l10n_id_school
520.06,520.06,BIAYA TELEPON                            ,account.data_account_type_expenses,FALSE,l10n_id_school
520.07,520.07,BIAYA INDOVISION                         ,account.data_account_type_expenses,FALSE,l10n_id_school
520.08,520.08,BIAYA TRANSPORTASI                       ,account.data_account_type_expenses,FALSE,l10n_id_school
520.09,520.09,BIAYA INTERNET                     ,account.data_account_type_expenses,FALSE,l10n_id_school
520.1,520.1,BIAYA KONSULTAN                          ,account.data_account_type_expenses,FALSE,l10n_id_school
520.11,520.11,BIAYA ASURANSI                           ,account.data_account_type_expenses,FALSE,l10n_id_school
520.12,520.12,BIAYA MARKETING                          ,account.data_account_type_expenses,FALSE,l10n_id_school
520.13,520.13,BIAYA IURAN PENDIDIKAN                   ,account.data_account_type_expenses,FALSE,l10n_id_school
520.14,520.14,BIAYA ADMINISTRASI SEKOLAH               ,account.data_account_type_expenses,FALSE,l10n_id_school
520.15,520.15,BIAYA PAJAK DLL                          ,account.data_account_type_expenses,FALSE,l10n_id_school
520.16,520.16,BIAYA SERVICE & PEMELIHARAAN             ,account.data_account_type_expenses,FALSE,l10n_id_school
520.17,520.17,BIAYA TRANSPORTASI                       ,account.data_account_type_expenses,FALSE,l10n_id_school
520.18,520.18,BIAYA SEWA                       ,account.data_account_type_expenses,FALSE,l10n_id_school
520.19,520.19,BIAYA SUMBANGAN & PERIJINAN              ,account.data_account_type_expenses,FALSE,l10n_id_school
520.2,520.2,BIAYA TRAINING                           ,account.data_account_type_expenses,FALSE,l10n_id_school
610.01,610.01,PENDAPATAN BUNGA                         ,account.data_account_type_other_income,FALSE,l10n_id_school
610.02,610.02,PENDAPATAN JASA GIRO                     ,account.data_account_type_other_income,FALSE,l10n_id_school
610.03,610.03,PENDAPATAN BUNGA BANK                    ,account.data_account_type_other_income,FALSE,l10n_id_school
610.04,610.04,PENDAPATAN DENDA                         ,account.data_account_type_other_income,FALSE,l10n_id_school
610.05,610.05,PENDAPATAN LAIN-LAIN                     ,account.data_account_type_other_income,FALSE,l10n_id_school
710.01,710.01,BIAYA BUNGA BANK                         ,account.data_account_type_expenses,FALSE,l10n_id_school
710.02,710.02,BIAYA BUNGA PIHAK III                    ,account.data_account_type_expenses,FALSE,l10n_id_school
710.03,710.03,BIAYA PROVISI                            ,account.data_account_type_expenses,FALSE,l10n_id_school
730.01,730.01,DEPRESIASI TOYS                          ,account.data_account_type_depreciation,FALSE,l10n_id_school
730.02,730.02,DEPRESIASI FURNITURE & EQUIP             ,account.data_account_type_depreciation,FALSE,l10n_id_school
730.03,730.03,DEPRESIASI ELEKTRONIK                    ,account.data_account_type_depreciation,FALSE,l10n_id_school
730.09,730.09,DEPRESIASI KENDARAAN                     ,account.data_account_type_depreciation,FALSE,l10n_id_school
730.1,730.1,DEPRESIASI BANGUNAN                      ,account.data_account_type_depreciation,FALSE,l10n_id_school
