id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id
ST1,ST1,l10n_id_school,sale,PPN Keluaran (10%),percent,10,215.01,215.01,,tag_st1
PT1,PT1,l10n_id_school,purchase,PPN Masukan (10% ),percent,10,215.02,215.02,,tag_pt1
